compound_id	smiles	score_kcal_mol
101414528	CC(NC1=CC=C2C=CC=C(Br)C2=N1)C1CN(C)CCN1C	-6.213
101414560	CCN1N=CC2=C(NC(C)C3CN(C)CCN3C)N=CN=C21	-6.023
101414592	CC(NC1=NC=CC2=CC(Br)=CC=C21)C1CN(C)CCN1C	-6.252
101414624	CC1=NC2=NC(C)=NN2C(NC(C)C2CN(C)CCN2C)=C1	-6.013
101414688	CC(NC1=CN=C2N=CN=C(O)C2=N1)C1CN(C)CCN1C	-6.768
101414752	CC(NC1=NC=CC2=CC(Br)=CN=C21)C1CN(C)CCN1C	-6.519
101414816	CC1=CC(Br)=CC2=C1N=C(NC(C)C1CN(C)CCN1C)N2	-6.432
101414944	CC(NC1=NC2=C(Br)C=C(F)C=C2S1)C1CN(C)CCN1C	-5.948
101414976	CC1=C(C)NC(CNC2=CC=C([N+](=O)[O-])C3=CC=CN=C23)=N1	-6.664
101415008	CC1=C(C)NC(CNC2=NC=NC3=CC=C([N+](=O)[O-])C=C32)=N1	-6.598
101415040	CC1=C(C)NC(CNC2=CC(C(=O)OC(C)(C)C)=CC=N2)=N1	-5.855
101415072	CC1=C(C)NC(CNC2=C3C=CC=CC3=NC=C2[N+](=O)[O-])=N1	-6.050
101415104	COC(=O)C1=CC=CC([N+](=O)[O-])=C1NCC1=NC(C)=C(C)N1	-5.885
101415168	CC1=CC(C(F)(F)F)=C(C#N)C(NCC2=NC(C)=C(C)N2)=N1	-5.931
101415200	CC1=C(C)NC(CNC2=CC=C(C(=O)OC(C)(C)C)N=C2)=N1	-6.094
101415264	C#CCN1C=CC2=NC(Cl)=NC(NCC3=NC(C)=C(C)N3)=C21	-6.110
101415328	CC1=C(C)NC(CNC2=NC=NC3=C2N=C2COCCN23)=N1	-6.655
101415392	COC1=CC=C(F)C(NCC2=NC(C)=C(C)N2)=C1S(N)(=O)=O	-6.043
101415488	CN(C[Si](C)(C)C)C1=CC=C(C(=O)NC2=CC=CC=C2)N=N1	-5.957
101415744	CCOC(=O)C1=C(NCC=C(Cl)Cl)C2=CC=CC=C2NC1=O	-6.103
101415776	CN1C(=O)N(C2=CC=C(Cl)C=C2)C(=O)C=C1NCC=C(Cl)Cl	-5.992
101415808	CCOC1=CC(NC(CO)C2=CC=CC=N2)=CC=C1[N+](=O)[O-]	-5.360
101415840	CC(C)C1=NC(NC(CO)C2=CC=CC=N2)=C2C=CNC2=N1	-6.484
101415872	OCC(NC1=NC(C2=COC=C2)=NC(Cl)=C1)C1=CC=CC=N1	-6.382
101415904	OCC(NC1=C2CCCCCC2=NC(Cl)=N1)C1=CC=CC=N1	-5.844
101415936	CSC1=NC(NC(CO)C2=CC=CC=N2)=NC=C1C(F)(F)F	-5.692
101415968	OCC(NC1=NC=NC(N2CCOCC2)=N1)C1=CC=CC=N1	-6.050
101416000	COC1=CC=CC(CN2CCC(NC3=NC(I)=CO3)CC2)=C1	-5.967
101416032	NC(=O)C1=CC=NC(NCC2=CC=CC=C2C2=NC=CN2)=C1	-6.826
101416064	CC1=NC(C)=C(C)C(NCC2=CC=CC=C2C2=NC=CN2)=N1	-6.467
101416128	C1=CC=C(C2=NC=CN2)C(CNC2=NC=NC3=C2N=CS3)=C1	-6.468
101416192	CCC1=NC(N)=NC(NCC2=CC=CC=C2C2=NC=CN2)=N1	-7.524
101416224	CN1C=C(NCC2=CC=CC=C2C2=NC=CN2)C(=O)NC1=O	-6.182
101416352	CN1C=NC(NCC2=CC=CC=C2C2=NC=CN2)=C(Cl)C1=O	-6.217
101416416	OCC1=CC(NCC2=CC=CC=C2C2=NC=CN2)=C(Br)C=N1	-5.829
101416448	COC1=NC(Cl)=CC(NCC2=CC=CC=C2C2=NC=CN2)=N1	-6.227
101416544	COC1(OC)CC(NC2=NC3=CC=CC=C3N3C=NC=C23)C1	-6.703
101416576	CCCCC1=NC2=NC=NN2C(NC2CC(OC)(OC)C2)=C1	-5.981
101416608	COC1=C(F)C=C2N=C(NC3CC(OC)(OC)C3)SC2=C1F	-5.783
101416672	COC1(OC)CC(NC2=CC(C3=CC=CC=N3)=NC(Cl)=N2)C1	-6.229
101416704	COC(=O)C1=CN2C=CN=C(NC3CC(OC)(OC)C3)C2=N1	-5.485
101416768	CC1=NN=C2C(NCCN3CCC4(C3)OCCO4)=NC=CN12	-6.213
101416928	BrC1=CC2=C(NCCN3CCC4(C3)OCCO4)N=CN=C2N1	-5.992
101416960	ClC1=CN2C=CN=C2C(NCCN2CCC3(C2)OCCO3)=N1	-6.115
101416992	IC1=CC=CC2=C1N=C(NCCN1CCC3(C1)OCCO3)S2	-6.281
101417024	CC1=CN2N=CC=C2N=C1NCCN1CCC2(C1)OCCO2	-6.324
101417088	OC1=NC(NCCN2CCC3(C2)OCCO3)=NC2=C1C=CN2	-6.997
101417120	O=C1C=C(NCC2CC(C(F)(F)F)=NO2)N=C2C=CC=CN12	-6.765
101417184	CC1=NN2C(=C1)N=C(Cl)C=C2NCC1CC(C(F)(F)F)=NO1	-7.111
101417216	CC1=CSC2=C(NCC3CC(C(F)(F)F)=NO3)N=C(C)N=C12	-6.751
101417248	CCC1=NNC2=NC=NC(NCC3CC(C(F)(F)F)=NO3)=C12	-6.469
101417280	FC1=CC=C2C=NC(NCC3CC(C(F)(F)F)=NO3)=NC2=C1	-6.844
101417792	CC1=NC(NC(C)C2=NN3CCCCC3=C2)=NC(N(C)C)=C1	-6.179
101417824	CC1=CC=NC(NC(C)C2=NN3CCCCC3=C2)=C1[N+](=O)[O-]	-6.083
101417856	COC1=CC(OC)=NC(NC(C)C2=NN3CCCCC3=C2)=N1	-6.086
101417888	CCC1=NN=C(NC(C)C2=NN3CCCCC3=C2)N=C1CC	-5.836
101418048	CC(NC1=CC=C(C(C)(C)O)N=N1)C1=NN2CCCCC2=C1	-6.791
101418144	CC(NC1=NC=CC=C1OC(F)F)C1=NN2CCCCC2=C1	-6.704
101418176	CC(NC1=C2C(=NC=N1)N=CN2C)C1=NN2CCCCC2=C1	-6.109
101418240	CC(NC1=CC=NC2=NC=CN=C12)C1=NN2CCCCC2=C1	-6.527
101418304	C#CCOC1=NC=NC(NC(C)C2=NN3CCCCC3=C2)=C1	-5.994
101418336	CC(NC1=NC(C2CC2)=NC(N)=C1)C1=NN2CCCCC2=C1	-6.471
101418400	CC1=NC(NC(C)C2=NN3CCCCC3=C2)=C(CO)C=C1Br	-6.418
101418496	CC(NC1=C([N+](=O)[O-])C(O)=CC=C1)C1=NN2CCCCC2=C1	-6.703
101418528	CC(NC1=CC=C(S(C)(=N)=O)C=C1)C1=NN2CCCCC2=C1	-6.242
101418912	CC1=NC(N)=NC(N2CCC(N3C=C(C4CC4)N=N3)C2)=C1C	-6.548
101419008	C1=CC2=C(C=NN2)C(N2CCC(N3C=C(C4CC4)N=N3)C2)=N1	-6.183
101419136	C1=CC=C(C2=NC(N3CCC[C@H]3C3=NC=NN3)=CC=N2)C=C1	-6.599
101419168	FC1=CC(Cl)=C2N=C(N3CCC[C@H]3C3=NC=NN3)C=CC2=C1	-6.630
101419200	CC1=C(Br)C(N2CCC[C@H]2C2=NC=NN2)=NC=C1S(N)(=O)=O	-5.672
101419232	N#CC1=CC=C2N=CN=C(N3CCC[C@H]3C3=NC=NN3)C2=C1	-5.774
101419264	CCOC(=O)C1=NC(N2CCC[C@H]2C2=NC=NN2)=NC=C1F	-5.910
101419296	N#CCC1=CC(N2CCC[C@H]2C2=NC=NN2)=CC=C1[N+](=O)[O-]	-5.739
101419328	FC1=CC=CC2=NC=NC(N3CCNC4(CCCCC4)C3)=C12	-6.307
101419488	CN1C2=CC=C(Br)C=C2N=C1N1CCNC2(CCCCC2)C1	-6.814
101419520	ClC1=CC=CC2=C(N3CCNC4(CCCCC4)C3)N=CN=C12	-6.530
101419616	ClC1=CN=C2C(=C1)N=CN=C2N1CCNC2(CCCCC2)C1	-6.965
101419648	O=C1NC(N2CCNC3(CCCCC3)C2)=NN2C(Br)=CC=C12	-6.841
101419712	CC1=NN2C(=N1)C1=CC=CC=C1N=C2N1CCNC(C)(C)C1	-6.494
101419744	CC1(C)CN(C2=C3C=CC(Br)=CC3=NC=C2[N+](=O)[O-])CCN1	-5.811
101419776	COC(=O)C1=CC(N2CCNC(C)(C)C2)=NC2=CC=CC=C21	-6.036
101419808	COC(=O)C1=NC2=C(Br)C=NN2C(N2CCNC(C)(C)C2)=C1	-5.335
101419840	COC(=O)C1=C(N2CCNC(C)(C)C2)N2C=CC(Br)=CC2=N1	-5.234
101419904	CC1=NC(N2CCNC(C3=CC=CC=C3)C2)=C2C=CNC2=N1	-7.064
101419936	CC1=CC2=NC=NC(N3CCNC(C4=CC=CC=C4)C3)=C2N1	-7.692
101419968	C1=CC=C(C2CN(C3=NC(C4CCCC4)=NS3)CCN2)C=C1	-6.514
101420000	NC1=NC(N2CCNC(C3=CC=CC=C3)C2)=NC(C2CC2)=N1	-6.981
101420032	NS(=O)(=O)C1=CN=CC=C1N1CCNC(C2=CC=CC=C2)C1	-5.949
101420064	BrC1=CC2=C(N3CCNC(C4=CC=CC=C4)C3)N=CN=C2N1	-7.006
101420096	FC1=NC(N2CCNC(C3=CC=CC=C3)C2)=C2N=CNC2=N1	-6.968
101420128	BrC1=CN=C2N=C(N3CCNC(C4=CC=CC=C4)C3)OC2=C1	-6.805
101420160	CCC1=NC(Cl)=C(F)C(N2CCNC(C3=CC=CC=C3)C2)=N1	-6.816
101420192	CC(=O)C1=C(Cl)N=CC=C1N1CCNC(C2=CC=CC=C2)C1	-6.590
101420224	[2H]C([2H])([2H])S(=O)(=O)C1=CN=C(N2CCNC(C3=CC=CC=C3)C2)N=C1	-6.394
101420256	CNC1=CC(CNC2=NC=NC3=C2C2=C(CCC2)S3)=CC=N1	-6.309
101420288	CNC1=CC(CNC2=CC=CC=C2S(=O)(=O)C(F)F)=CC=N1	-6.407
101420320	CNC1=CC(CNC2=CC=C([N+](=O)[O-])C=C2COC)=CC=N1	-5.477
101420352	CNC1=CC(CNC2=CC=C(S(=O)(=O)NC)C=C2F)=CC=N1	-6.069
101420384	CNC1=CC(CNC2=C3CCNC3=CC=C2[N+](=O)[O-])=CC=N1	-5.890
101420416	CNC1=CC(CNC2=NC=NC3=C2N=CN3C2CC2)=CC=N1	-6.340
101420448	CNC1=CC(CNC2=CC=C([N+](=O)[O-])C(C(N)=O)=C2)=CC=N1	-5.779
101420512	CNC1=CC(CNC2=CC(Cl)=C(S(N)(=O)=O)C=C2C)=CC=N1	-6.553
101420544	CNC1=CC(CNC2=NC=NC(OCC(F)(F)F)=C2)=CC=N1	-6.391
101420576	CNC1=CC(CNC2=NC=C(C(N)=O)C3=C2C=CS3)=CC=N1	-6.329
101420608	CNC1=CC(CNC2=C(C#N)C=C3C=NN(C)C3=N2)=CC=N1	-5.744
101420640	CCOC(=O)CC1=CN=CN=C1NCC1=CC=NC(NC)=C1	-5.794
101420672	CNC1=CC(CNC2=C3C=CC=C(CO)C3=NC=C2)=CC=N1	-6.382
101420704	CNC1=CC(CNC2=C([N+](=O)[O-])C(OC)=CC(I)=C2)=CC=N1	-5.736
101420736	CNC1=CC(CNC2=NC3=CC(F)=C(O)C(F)=C3S2)=CC=N1	-6.576
101420768	CNC1=CC(CNC2=NC=CN3N=C(C(=O)O)C=C23)=CC=N1	-6.324
101420800	CNC1=CC(CNC2=NC=NC3=C2N(C2CC2)C=N3)=CC=N1	-6.026
101420832	CNC1=CC(CNC2=CC=C(C3=CC=CN=C3)N=N2)=CC=N1	-6.420
101420864	CNC1=CC(CNC2=CC=CC(C3=CC=NC=C3)=N2)=CC=N1	-6.378
101420928	CNC1=CC(CNC2=CC(OC)=CC=C2S(N)(=O)=O)=CC=N1	-6.010
101420960	CNC1=CC(CNC2=NC=C3CCCCC3=C2C#N)=CC=N1	-6.260
101420992	CC1=CC=C(CN2CCC(CNC3=NN=NN3C)CC2)C=C1	-6.420
101421632	O=C(NC1CC1)[C@@H]1CC2=CC=CC=C2CN1C1=CC=NC=C1	-6.431
|&1:12,15|	CC1=CC2=NC=NC(N3CCC[C@H](CO)[C@@H]3CO)=C2C=C1C	-5.694
101421920	NC1=NN=C2C=CC(NCCC3=NN=C4C=CC=CN43)=NN12	-6.494
101421952	CNC(=O)C1=CC=NC(NCCC2=NN=C3C=CC=CN32)=C1	-6.338
101421984	CC1=NC(NCCC2=NN=C3C=CC=CN32)=NC(N(C)C)=N1	-5.841
101422016	N#CC1=CC=CC(C#N)=C1NCCC1=NN=C2C=CC=CN21	-5.831
101422048	O=[N+]([O-])C1=CC=CC(F)=C1NCCC1=NN=C2C=CC=CN21	-6.054
101422080	C1=CC2=NN=C(CCNC3=CN=C4CCCCC4=N3)N2C=C1	-6.245
101422112	FC1=CC=CC2=C1OC(NCCC1=NN=C3C=CC=CN31)=N2	-7.180
101422144	C1=CC2=NN=C(CCNC3=NC=CC4=NC=NC=C43)N2C=C1	-6.674
101422176	BrC1=CC=C2N=C(NCCC3=NN=C4C=CC=CN43)OC2=C1	-6.528
101422208	CC(=O)C1=CN=C(NCCC2=NN=C3C=CC=CN32)C(C)=C1	-6.492
101422240	C1=CC2=NN=C(CCNC3=NN=C(C4CCCC4)S3)N2C=C1	-6.235
101422272	NC1=NC(NCCC2=NN=C3C=CC=CN32)=C2C=NNC2=N1	-7.574
