rank	compound_id	smiles	screen_score	redock_score	diff	MW	logP	status
rank14_287315776	287315776	CC1=CC(C2=CC=C3NN=C(N)C3=C2)=C2NC=NC(=O)C2=C1	-8.528	-8.908	-0.38	291.3	2.36	PRIORITY
rank02_109810528	109810528	CC1=CC=C2C(N3CC4CCC(=O)NC4C3)=NC=NC2=C1C	-8.888	-8.677	+0.21	296.4	1.96	PRIORITY
rank21_36196096	36196096	O=C1NC[C@H]2CC[C@@H]1N2C(=O)C1=CN=C2C(F)=CC=CC2=C1	-8.427	-8.378	+0.05	299.3	1.48	PRIORITY
rank12_77287776	77287776	CC1=C(C)N2N=CC(NC(=O)C3CC(=O)NC(=O)C3)=C2C=C1	-8.559	-8.32	+0.24	300.3	0.94	PRIORITY
rank15_505270016	505270016	CN1CCCC12CCN(C(=O)C1=CC=C3C(=O)NNC3=C1)CC2	-8.517	-8.286	+0.23	314.4	1.56	PRIORITY
rank07_229484608	229484608	O=C(O)C1=C(CNC(=O)C2=CC=C3C=NC=CC3=C2)C=CN1	-8.66	-8.091	+0.57	295.3	2.19	PRIORITY
rank26_287360288	287360288	NC(=O)C1=CC(C2=CC=CC3=C2CCNC3)=CN=C1C(N)=O	-8.381	-7.974	+0.41	296.3	0.59	PRIORITY
rank05_76153632	76153632	CN1C=C2CCN(C(=O)C3=CN=C4NN=C(N)C4=C3)CC2=N1	-8.677	-7.862	+0.81	297.3	0.47	PRIORITY
rank06_36998912	36998912	CC1=CC2=C(C=C(C(=O)N3CCNC(=O)CC34CCC4)N2)S1	-8.673	-7.23	+1.44	317.4	2.42	PRIORITY
rank01_184088512	184088512	CC(NC(=O)NC1=NN(C)C2=CC=C(I)C=C21)C1=NNC=C1	-9.24	-6.977	+2.26	410.2	2.78	PRIORITY
