rank	compound_id	smiles	score_kcal_mol
1	184088512	CC(NC(=O)NC1=NN(C)C2=CC=C(I)C=C21)C1=NNC=C1	-9.24
2	109810528	CC1=CC=C2C(N3CC4CCC(=O)NC4C3)=NC=NC2=C1C	-8.888
3	484981856	O=C1CC2(CCC2)C(C(=O)NC2=CC=CN3C(Br)=CN=C23)CN1	-8.751
4	504921376	CCC[C@@H](NC(N)=O)C(=O)NC1=NN(C2=NC=CC=C2Cl)C=C1	-8.679
5	76153632	CN1C=C2CCN(C(=O)C3=CN=C4NN=C(N)C4=C3)CC2=N1	-8.677
6	36998912	CC1=CC2=C(C=C(C(=O)N3CCNC(=O)CC34CCC4)N2)S1	-8.673
7	229484608	O=C(O)C1=C(CNC(=O)C2=CC=C3C=NC=CC3=C2)C=CN1	-8.66
8	287316000	CC1CC2=CC(C3=CC=C4NN=C(N)C4=C3)=CC(F)=C2CN1	-8.626
9	287315328	CN1C(=O)CCC2=CC(C3=CC=C4NN=C(N)C4=C3)=CC=C21	-8.622
10	12313312	CC1(C)OC(=O)N[C@H]1C(=O)NC1=CC=C2C(Cl)=CC=CC2=N1	-8.621
11	37152736	NC(=O)C1C(=O)NCCN1C(=O)C1=CN2C=C(Br)C=CC2=C1	-8.589
12	77287776	CC1=C(C)N2N=CC(NC(=O)C3CC(=O)NC(=O)C3)=C2C=C1	-8.559
13	49770112	CC1=NOC2=C(NC(=O)C3CC(=O)NC(=N)S3)C=C(F)C=C12	-8.553
14	287315776	CC1=CC(C2=CC=C3NN=C(N)C3=C2)=C2NC=NC(=O)C2=C1	-8.528
15	505270016	CN1CCCC12CCN(C(=O)C1=CC=C3C(=O)NNC3=C1)CC2	-8.517
16	143729440	O=C1CC[C@H](NC(=O)C2=C3C=CC=C(Br)C3=CC=C2)C(=O)N1	-8.515
17	287315520	NC1=NNC2=CC=C(C3=CC4=C(NC=CC4=O)C(F)=C3)C=C21	-8.5
18	484275584	O=C1C=CN(NC(=O)CC2=C3OCOCC3=CC(F)=C2)C(=O)N1	-8.469
19	14233088	CC1(C(=O)NC2=CC=C3C(Br)=CC=C(Cl)C3=N2)CNC(=O)N1	-8.468
20	109946624	N=C1NS(=O)(=O)C2=CC=C(N3CCC4=CN=NN4CC3)C=C12	-8.439
